n,ns_limb
65536,46.8920
68438,47.6868
71468,47.3719
74632,47.0040
77936,46.5701
81386,46.6607
84990,46.5498
88752,46.1633
92682,52.7480
96785,52.0149
101070,51.0426
105545,51.1614
110218,51.7050
115098,51.1436
120194,50.7362
125515,50.6678
131072,49.2121
136875,51.2841
142935,50.7982
149263,50.5332
155872,50.5407
162773,50.2112
169979,50.2325
177505,49.6240
185364,57.5514
193571,57.3932
202141,56.2254
211090,56.1695
220436,55.9531
230195,55.7652
240387,55.5411
251030,55.2935
262144,54.6426
273750,56.4711
285870,55.7995
298527,56.3825
311744,54.9380
325546,54.7135
339959,54.4421
355010,54.6510
370728,62.3868
387141,61.4139
404281,60.8664
422180,60.6718
440872,60.2776
460391,60.1416
480774,60.0000
502060,59.5293
524288,59.1856
547500,59.8775
571740,59.2959
597053,59.0674
623487,58.8216
651091,58.9866
679917,58.7105
710020,58.3337
741455,63.2503
774282,62.7364
808563,62.0385
844361,61.5132
881744,61.3765
920782,60.7025
961548,60.4197
1004120,60.3969
1048576,59.7003
1095000,60.0284
1143480,59.4589
1194106,59.4095
1246974,58.7814
1302182,58.8721
1359835,59.0831
1420040,58.4078
1482910,68.4629
1548564,67.8571
1617125,66.9830
1688722,66.6787
1763488,66.3679
1841564,65.9159
1923097,65.4933
2008240,65.0011
2097152,64.4146
2190001,64.7981
2286960,64.3296
2388213,64.1599
2493948,64.0214
2604365,63.7079
2719670,63.8942
2840080,63.0216
2965821,72.2531
3097129,71.8115
3234251,70.9737
3377443,70.6555
3526975,70.0300
3683128,69.9430
3846194,69.4254
4016479,69.0045
4194304,68.6525
