n,simple_ns,vtail_ns,mul_ns
8,6.702,7.099,2.807
9,6.786,15.456,5.537
10,7.672,6.612,6.025
11,6.270,8.634,6.640
12,6.704,7.061,7.323
13,8.457,7.074,8.401
14,7.283,12.314,9.170
15,10.414,7.871,9.989
16,11.368,13.098,10.336
17,11.827,21.217,11.847
18,12.523,12.733,13.040
19,13.117,13.364,13.703
20,13.855,14.043,14.919
21,14.616,14.775,15.964
22,14.970,15.091,17.291
23,16.176,15.806,18.411
24,21.996,21.989,19.268
25,22.266,27.548,20.921
26,23.187,23.195,22.531
27,24.207,24.200,23.630
28,25.219,25.123,25.308
29,25.921,25.897,26.912
30,26.823,26.767,28.611
31,28.535,27.744,30.072
32,35.869,32.613,31.647
33,36.752,39.290,33.470
34,38.203,37.922,35.969
35,39.220,39.276,37.257
36,40.440,40.522,39.536
37,41.388,41.493,41.226
38,42.601,42.551,43.641
39,43.774,43.825,45.352
40,54.070,50.928,47.441
41,55.197,55.084,49.720
42,56.506,56.314,52.546
43,57.954,58.080,54.165
44,59.535,59.452,57.086
45,60.659,60.523,59.161
46,62.009,62.093,62.037
47,63.438,63.502,64.121
48,75.847,70.746,66.656
49,77.179,75.859,69.324
50,79.149,78.794,72.714
51,80.340,80.426,74.541
52,82.362,82.160,78.093
53,83.581,83.548,80.417
54,85.163,85.013,83.794
55,86.556,86.625,86.362
56,101.348,94.526,89.693
57,102.794,100.436,92.260
58,104.880,104.468,96.269
59,106.471,106.390,98.265
60,108.637,108.550,102.501
61,109.957,109.878,104.866
62,111.672,111.929,109.119
63,113.583,113.668,112.027
64,130.290,123.703,115.698
65,133.185,128.840,118.874
66,135.184,134.610,123.449
67,137.298,136.827,125.622
68,139.213,138.816,130.506
69,144.959,140.352,133.154
70,147.293,142.475,137.870
71,144.918,145.512,140.652
72,163.344,153.347,145.223
73,165.884,161.930,148.873
74,168.388,169.284,153.766
75,170.455,171.429,156.428
76,173.032,173.516,161.948
77,174.061,175.286,164.753
78,176.638,177.748,170.249
79,178.708,179.922,178.630
80,199.872,191.114,183.055
81,202.215,197.817,182.262
82,204.963,205.919,187.609
83,208.142,208.392,190.887
84,210.007,210.957,196.633
85,211.888,213.938,199.759
86,213.997,216.947,206.125
87,217.197,219.268,209.940
88,240.227,232.571,215.279
89,242.472,237.034,219.609
90,246.048,247.796,225.560
91,248.452,249.117,228.482
92,251.000,252.401,235.081
93,253.603,254.600,238.729
94,256.733,258.310,245.849
95,261.345,260.711,249.191
96,285.087,277.736,255.202
97,286.615,284.693,259.832
98,290.244,291.785,266.804
99,292.617,294.561,269.806
100,296.140,296.654,276.425
101,298.588,299.040,280.814
102,301.384,303.482,288.732
103,304.464,305.119,292.864
104,331.228,326.581,298.386
105,337.733,331.773,304.990
106,338.870,341.466,311.641
107,342.572,343.187,315.497
108,344.611,347.381,323.050
109,347.972,348.481,327.505
110,351.531,353.211,335.393
111,354.360,355.825,339.308
112,382.441,374.301,345.988
113,386.283,384.892,351.780
114,390.058,392.737,359.730
115,393.455,396.105,363.343
116,396.452,399.023,371.949
117,398.694,411.899,375.754
118,402.480,415.936,384.524
119,418.021,407.198,389.600
120,436.626,442.987,396.506
121,441.092,431.878,402.236
122,444.937,445.736,410.349
123,449.459,449.557,415.577
124,452.554,453.234,423.503
125,455.420,456.118,429.070
126,458.841,462.353,438.699
127,462.525,464.977,443.503
128,495.309,483.226,451.590
